Date,Open
1950-01-03,16.66
1950-01-04,16.85
1950-01-05,16.93
1950-01-06,16.98
1950-01-09,17.08
1950-01-10,17.030001000000002
1950-01-11,17.09
1950-01-12,16.76
1950-01-13,16.67
1950-01-16,16.719998999999998
1950-01-17,16.860001
1950-01-18,16.85
1950-01-19,16.870001000000002
1950-01-20,16.9
1950-01-23,16.92
1950-01-24,16.860001
1950-01-25,16.74
1950-01-26,16.73
1950-01-27,16.82
1950-01-30,17.02
1950-01-31,17.049999
1950-02-01,17.049999
1950-02-02,17.23
1950-02-03,17.290001
1950-02-06,17.32
1950-02-07,17.23
1950-02-08,17.209999
1950-02-09,17.280001000000002
1950-02-10,17.24
1950-02-14,17.059998999999998
1950-02-15,17.059998999999998
1950-02-16,16.99
1950-02-17,17.15
1950-02-20,17.200001
1950-02-21,17.17
1950-02-23,17.209999
1950-02-24,17.280001000000002
1950-02-27,17.280001000000002
1950-02-28,17.219998999999998
1950-03-01,17.24
1950-03-02,17.23
1950-03-03,17.290001
1950-03-06,17.32
1950-03-07,17.200001
1950-03-08,17.190001000000002
1950-03-09,17.07
1950-03-10,17.09
1950-03-13,17.120001000000002
1950-03-14,17.25
1950-03-15,17.450001
1950-03-16,17.49
1950-03-17,17.450001
1950-03-20,17.440001000000002
1950-03-21,17.450001
1950-03-22,17.549999
1950-03-23,17.559998999999998
1950-03-24,17.559998999999998
1950-03-27,17.459999
1950-03-28,17.530001000000002
1950-03-29,17.440001000000002
1950-03-30,17.299999
1950-03-31,17.290001
1950-04-03,17.530001000000002
1950-04-04,17.549999
1950-04-05,17.629998999999994
1950-04-06,17.780001000000006
1950-04-10,17.85
1950-04-11,17.75
1950-04-12,17.940001000000006
1950-04-13,17.98
1950-04-14,17.959999
1950-04-17,17.879998999999994
1950-04-18,18.030001
1950-04-19,18.049999
1950-04-20,17.93
1950-04-21,17.959999
1950-04-24,17.83
1950-04-25,17.83
1950-04-26,17.76
1950-04-27,17.860001
1950-04-28,17.959999
1950-05-01,18.219999
1950-05-02,18.110001
1950-05-03,18.27
1950-05-04,18.120001
1950-05-05,18.219999
1950-05-08,18.27
1950-05-09,18.27
1950-05-10,18.290001
1950-05-11,18.290001
1950-05-12,18.18
1950-05-15,18.26
1950-05-16,18.440001
1950-05-17,18.52
1950-05-18,18.559999
1950-05-19,18.68
1950-05-22,18.6
1950-05-23,18.709999
1950-05-24,18.690001
1950-05-25,18.690001
1950-05-26,18.67
1950-05-29,18.719999
1950-05-31,18.780001
1950-06-01,18.77
1950-06-02,18.790001
1950-06-05,18.6
1950-06-06,18.879999
1950-06-07,18.93
1950-06-08,19.139999
1950-06-09,19.26
1950-06-12,19.4
1950-06-13,19.25
1950-06-14,18.98
1950-06-15,18.93
1950-06-16,18.969999
1950-06-19,18.92
1950-06-20,18.83
1950-06-21,19.0
1950-06-22,19.16
1950-06-23,19.139999
1950-06-26,18.110001
1950-06-27,17.91
1950-06-28,18.110001
1950-06-29,17.440001000000002
1950-06-30,17.690001000000006
1950-07-03,17.639999
1950-07-05,17.809998999999994
1950-07-06,17.91
1950-07-07,17.67
1950-07-10,17.59
1950-07-11,17.32
1950-07-12,16.870001000000002
1950-07-13,16.690001000000002
1950-07-14,16.870001000000002
1950-07-17,16.68
1950-07-18,17.059998999999998
1950-07-19,17.360001
1950-07-20,17.610001
1950-07-21,17.59
1950-07-24,17.48
1950-07-25,17.23
1950-07-26,17.27
1950-07-27,17.5
